country,carrier,first,added
AE,Aramex,51,19
KW,Aramex,78.5 ,32.9 
SA,Aramex,88.2 ,35.5 
TR,Aramex,81.8 ,35.6 
EG,Aramex,80.6 ,35.4 
IL,Aramex,106.6 ,35.4 
LK,Aramex,69.8 ,32.9 
ZA ,Aramex,105.6 ,31.2 
BH ,Aramex,78.5 ,32.9 
IR ,Aramex,88.2 ,32.9 
IQ ,Aramex,140.2 ,37.5 
OM ,Aramex,81.8 ,32.7 
QA ,Aramex,81.8 ,32.8 
CY ,Aramex,85.1 ,37.3 
JO ,Aramex,86.1 ,37.0 
LB ,Aramex,83.8 ,32.9 
SY ,Aramex,83.8 ,32.9 
YE ,Aramex,86.1 ,37.3 
IN ,Aramex,66.4 ,27.7 
BD ,Aramex,69.8 ,32.9 
PK ,Aramex,101.8 ,32.9 
UA ,Aramex,145.4 ,66.1 
KE ,Aramex,76.0 ,31.9 
TZ ,Aramex,83.5 ,37.6 
BI ,Aramex,80.5 ,48.3 
RW ,Aramex,96.6 ,46.4 
ZM ,Aramex,104.1 ,41.7 
MW ,Aramex,149.4 ,70.1 
ET ,Aramex,112.1 ,46.7 
ZW ,Aramex,107.4 ,46.7 
MZ ,Aramex,114.9 ,51.4 
BW ,Aramex,165.3 ,36.5 
NA ,Aramex,107.4 ,50.5 
SZ ,Aramex,167.2 ,46.7 
LS ,Aramex,121.4 ,43.9 
GH ,Aramex,100.0 ,47.7 
LY ,Aramex,79.8 ,38.5 
SD ,Aramex,225.1 ,47.9 
DZ ,Aramex,92.0 ,44.1 
MA ,Aramex,92.0 ,44.1 